"benchmark","size","PAPI_TOT_INS_0","PAPI_TOT_CYC_0","PAPI_L1_DCM","PAPI_L1_DCA","PAPI_TOT_INS_1","PAPI_TOT_CYC_1","PAPI_L2_DCM","PAPI_L2_DCA","PAPI_TOT_INS_2","PAPI_TOT_CYC_2","PAPI_FP_OPS","PAPI_TLB_DM","IPC","L1 miss ratio","L2 miss ratio","TLB miss ratio","LS per INS"
"mat_mult_2D_slow",512,1075581078,4001391202,116986761,537846844,1075581105,3996922969,17105380,118109559,1075581075,3995345645,268751157,83691704,0.268801780106478,0.217509430993333,0.14482638107217,0.155605085227571,0.500052348447878
"mat_mult_2D_slow",768,3628014905,12850180856,212307436,1814148425,3628014594,12847823363,57395133,214665413,3628014592,12849704442,906685624,285926533,0.282331816622333,0.117028702323516,0.267370193446114,0.1576092281424,0.500038856648523
"mat_mult_2D_slow",1024,8597286609,36344358351,873270428,4298837357,8597286604,36344754364,135497216,882845440,8597286604,36347152583,2148695722,898813789,0.236550788047231,0.203141071754672,0.1534778454539,0.209082994855904,0.500022571365691
"matrix_vector_mult_fast",128,246932,254575,2186,148309,246931,201995,0,2230,246931,201808,98640,0,0.969977413335952,0.0147394965915757,0,0,0.600606644744302
"matrix_vector_mult_fast",256,985237,957106,8438,591436,985235,797122,1,8601,985235,796931,393868,1,1.02939172881583,0.0142669705597901,0.000116265550517382,0.00000169080001893696,0.600298202361462
"matrix_vector_mult_fast",384,2215060,2105042,18789,1329459,2215059,1857241,538,19311,2215059,1851765,885669,20,1.05226404033744,0.0141328164313454,0.0278597690435503,0.0000150437132698338,0.600190965481748
"matrix_vector_mult_fast",512,3936404,3581939,33240,2362373,3936403,3350728,1214,34111,3936403,3353387,1574118,347,1.09895897166311,0.0140705976575249,0.0355896924745683,0.000146886202983187,0.600134793075101
"matrix_vector_mult_fast",768,8853653,7785973,74439,5313049,8853652,7530410,2703,76587,8853651,7526595,3540810,1037,1.13712865431206,0.0140105991870205,0.0352931959732069,0.000195179829886756,0.600096818793327
"matrix_vector_mult_fast",1024,15736981,13622768,132042,9443379,15736980,13367404,4615,135832,15736980,13371631,6294008,1971,1.15519702016506,0.0139824950369989,0.0339757936274221,0.000208717663454998,0.600075643479521
"matrix_vector_mult_slow",128,279317,561811,3882,180915,279316,211910,0,4208,279316,211136,98688,0,0.497172536671585,0.0214575905812122,0,0,0.647704937400874
"matrix_vector_mult_slow",256,1115541,2289854,17764,721884,1115540,905111,21,20216,1115540,904786,394012,6,0.487166867407267,0.0246078317291975,0.0010387811634349,0.00000831158468673637,0.647115614755531
"matrix_vector_mult_slow",384,2508821,5292870,47625,1623348,2508821,4401337,13919,53065,2508820,4275128,885733,25,0.474000117138717,0.0293375172791047,0.262300951663055,0.0000154002715375878,0.647056127160925
"matrix_vector_mult_slow",512,4459158,9793266,99648,2885356,4459156,9663512,33371,113997,4459157,9667648,1574350,8509,0.455328998517961,0.0345357730553873,0.292735773748432,0.00294902951316926,0.647062965698906
"matrix_vector_mult_slow",768,10030999,27744816,298976,6490862,10030999,27622882,74718,348803,10030999,27628358,3541183,376201,0.361544981952665,0.0460610624598089,0.214212607116338,0.0579585577385561,0.647080315729271
"matrix_vector_mult_slow",1024,17831066,53626935,635398,11537846,17831065,53516850,132382,841171,17831065,53499643,6293704,846927,0.332502053305862,0.055070764508384,0.157378226305947,0.0734042558723699,0.647064286565929
