"benchmark","L1 miss ratio","L2 miss ratio","TLB miss ratio"
"_256",0.0715737740378292,0.426088379267158,0.00274968016683615
"_256",0.0481631016459391,0.388612193912698,0.00156535351960057
"_256",0.0297714805570891,0.369311321156964,0.000902777101642388
"_256",0.0166161587990378,0.357624179867476,0.000487288893418635
"_256",0.00753480009175029,0.342643836333585,0.000201448709936008
"_256",0.00390811919559106,0.334871679020049,0.000101305108834947
"_256",0.00203581513274792,0.327501840980572,0.0000546891040491357
"_256",0.000819413448518898,0.319753543651729,0.000020957495042076
"_512",0.113242034873657,0.447846537924715,0.00344049789498549
"_512",0.093997888945138,0.443719608163144,0.00279320575559087
"_512",0.0888001105371658,0.413986759130717,0.00230913174021681
"_512",0.0590318699690454,0.378840813773913,0.00132552568913802
"_512",0.0359851297875719,0.364870953973242,0.000758568447945606
"_512",0.0200886461657795,0.355762157667096,0.000403114244689424
"_512",0.00892839193995603,0.342862190119143,0.000171668040010987
"_512",0.00467420883170807,0.334902197766015,0.0000868533693568389
"_512",0.00245916459757442,0.327159726979417,0.0000436179039795975
"_512",0.00100110217623109,0.324079364254921,0.0000189674921924029
"_1024",0.118742154929495,0.440233968409589,0.00272771836792508
"_1024",0.107093301883548,0.434224633067503,0.00240387998581926
"_1024",0.101771411030197,0.405802706468917,0.00199019620739658
"_1024",0.0678011559192586,0.372915443017154,0.0011389700452381
"_1024",0.0408554919936189,0.361937867944987,0.000649739019688375
"_1024",0.0225266776525037,0.35513432877329,0.000353409939389223
"_1024",0.00948727327166406,0.347593312871645,0.000145830592790635
"_1024",0.00485081344614783,0.342260437685525,0.0000758913949617504
"_1024",0.00268459414371656,0.336001296794248,0.000036875563922013
"_1024",0.00110953479800501,0.317537178008812,0.0000155009625011093
"_4096",0.123310778801738,0.439306281659734,0.00214220932800033
"_4096",0.11979093306145,0.436132828464974,0.00203700658115246
"_4096",0.116257777629528,0.401164013044245,0.0016986618422244
"_4096",0.0841849464226721,0.348928012626147,0.000963740342671203
"_4096",0.0499473351835348,0.340699113386388,0.000551614758237523
"_4096",0.0264243070425146,0.34867620587902,0.000293627214183595
"_4096",0.0103738032352391,0.359372404048554,0.000122334191170054
"_4096",0.00517766197941628,0.354052257514962,0.0000604088104593483
"_4096",0.00273806857264042,0.35738788054893,0.0000297623370263959
"_4096",0.00109056047128022,0.365568996171424,0.0000122574100655957
"_16384",0.1246510570936,0.438834549451205,0.00199018826967392
"_16384",0.123798087702662,0.435683405856567,0.00193656918788266
"_16384",0.123797875016317,0.39825855268701,0.00160979559090854
"_16384",0.123796845612867,0.267653416860836,0.000930853699952252
"_16384",0.123796837098314,0.167427604269202,0.000528988601060899
"_16384",0.123797134342838,0.0984668928461521,0.000285634038070208
"_16384",0.12379772619235,0.0463063067831113,0.000114029151695392
"_16384",0.123799694859548,0.0201396220581643,0.000063337993724677
"_16384",0.123803523803668,0.0108121617260217,0.00003464085913515
"_16384",0.12382799451156,0.0043848111415992,0.0000142192902545041
"_65536",0.124918712165654,0.43981370151489,0.0019527267620635
"_65536",0.124723424347095,0.437557963196015,0.00189533560756431
"_65536",0.124723036047265,0.409085314116615,0.00164612294556665
