"benchmark","IPC","L1 miss ratio","L2 miss ratio","TLB miss ratio"
"_0.001",1.50951262663901,0.00101449284139549,0.297639934857523,0.0000158494372528446
"_1.000",0.815072166189303,0.118703355440384,0.437744864365403,0.00268732192905232
"_0.500",0.826162625830635,0.107001056371243,0.430950939383687,0.00233010461251078
"_0.250",0.911265754469523,0.100031853182446,0.394761821622131,0.00184634439028011
"_0.100",1.12648318747879,0.0642000924096515,0.361160536251384,0.00101205904471749
"_0.050",1.29475843419951,0.0382491003128594,0.347954164071596,0.000566205072293689
"_0.025",1.42364991786415,0.0208826903564998,0.341489649293194,0.000303996134061868
"_0.010",1.52769282342481,0.00877956942750876,0.333770723574073,0.00012476809052731
"_0.005",1.56814116673504,0.00453383778941315,0.326256757116608,0.0000648879969633331
"_0.003",1.58833819426781,0.00254857664750547,0.319104305845192,0.0000311319991602766
"_0.001",1.60873662623772,0.0010814928138663,0.295952508921524,0.0000130691315738739
"_1.000",0.845384061694859,0.123271398231343,0.437221605005231,0.002109414731924
"_0.500",0.855469503517809,0.119639287139879,0.431780808279195,0.00197910347326599
"_0.250",0.943067277527956,0.114640854772581,0.389408946256145,0.00156955245888015
"_0.100",1.17169519876384,0.0793013016760303,0.33823587117516,0.000856589645912255
"_0.050",1.35987316246807,0.0457952970463746,0.332408494356794,0.00047765939936454
"_0.025",1.49951172893977,0.0241719923151836,0.341717887199102,0.000256954344877436
"_0.010",1.61806117594598,0.00945426357693704,0.349556647812878,0.00010552067165153
"_0.005",1.66216293511795,0.00476463124857712,0.343531074167709,0.0000520141201728951
"_0.003",1.68383038308641,0.00254791055979685,0.343024230873945,0.0000255768456868432
"_0.001",1.700281375188,0.00101358406579932,0.336148698708488,0.0000106453376537393
"_1.000",0.853770154078229,0.124651046257183,0.436901055438585,0.00195590603243634
"_0.500",0.862392906370203,0.123798072903913,0.431688880426272,0.00187808758571407
"_0.250",0.952218795378001,0.123797945392909,0.382588146162721,0.00150128185404142
"_0.100",1.18356472434452,0.123796756498027,0.247493112197051,0.000840671459898451
"_0.050",1.36389747416047,0.123796993133943,0.151900311917167,0.000464845192720535
"_0.025",1.49847963442458,0.123797269952327,0.0870766643438913,0.000242317453784683
"_0.010",1.59799634459018,0.123797840677301,0.0410346681507331,0.0000975237072466922
"_0.005",1.63568345641588,0.123799720499969,0.0169472017905141,0.0000562299433245386
"_0.003",1.66041380541878,0.123803425161713,0.009890167384459,0.0000310567037447011
"_0.001",1.66823309311279,0.123827037538838,0.00381692394473137,0.0000123496025310442
"_1.000",0.855615146340796,0.12491863204472,0.43779036653157,0.00191889847251213
"_0.500",0.861192026086435,0.124723376578568,0.434998234814895,0.00183759588370638
"_0.250",0.908814571628265,0.124722997095992,0.397518597994102,0.00153449645231392
"_0.100",1.10582129078214,0.124722713193907,0.289954934834718,0.000848467887085949
"_0.050",1.30569290552821,0.124722469953504,0.195734005829282,0.000529295165559013
"_0.025",1.44840097121737,0.124722484220318,0.112407925347529,0.000266289965756296
"_0.010",1.58264740488333,0.124722788614311,0.0443755964412832,0.0000938007199296029
"_0.005",1.63607180848019,0.124723479020387,0.0209509226536762,0.0000508598984086713
"_0.003",1.65514969191421,0.124725296651951,0.0130157506242081,0.0000154577367839982
"_0.001",1.67628308982759,0.124731046174971,0.00729263197304638,0.0000137812533472386
"_1.000",0.609579305396575,0.0171123291226868,0.917899941064763,0.0157658193433182
"_0.500",0.742304544914061,0.00610208145017227,0.886285485805678,0.0053840940074002
"_0.250",0.748973358646239,0.00580378877133995,0.79372148140651,0.00446927561249789
"_0.100",0.768185413860864,0.00403810236257287,0.675942691181296,0.00254589927136983
"_0.050",0.786005528479593,0.00250146128572275,0.625959305757802,0.00146192555819737
