"rank","name","step","value"
0,"cpu: Steal %",11,0
0,"cpu: Guest %",11,0
0,"meminfo:MemTotal (MB)",11,630978
0,"meminfo:MemFree (MB)",11,556466
0,"meminfo:MemAvailable (MB)",11,588240
0,"program size (pages)",12,79771
0,"resident set size (pages)",12,2658
0,"resident shared pages",12,814
0,"Page faults (minor)",12,4746
0,"Page faults (major)",12,24
0,"Pages swapped (not maintained)",12,0
0,"GPU: Device 0 Utilization %",12,0
0,"GPU: Device 0 Memory Utilization %",12,0
0,"GPU: Device 0 Memory Free (GB)",12,16.9428
0,"GPU: Device 0 Memory Used (GB)",12,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",12,877
0,"cpu: User %",12,3.43945
0,"cpu: Nice %",12,0
0,"cpu: System %",12,0.0113701
0,"cpu: Idle %",12,96.5492
0,"cpu: I/O Wait %",12,0
0,"cpu: IRQ %",12,0
0,"cpu: soft IRQ %",12,0
0,"cpu: Steal %",12,0
0,"cpu: Guest %",12,0
0,"meminfo:MemTotal (MB)",12,630978
0,"meminfo:MemFree (MB)",12,556466
0,"meminfo:MemAvailable (MB)",12,588240
0,"program size (pages)",13,79771
0,"resident set size (pages)",13,2658
0,"resident shared pages",13,814
0,"Page faults (minor)",13,4746
0,"Page faults (major)",13,24
0,"Pages swapped (not maintained)",13,0
0,"GPU: Device 0 Utilization %",13,0
0,"GPU: Device 0 Memory Utilization %",13,0
0,"GPU: Device 0 Memory Free (GB)",13,16.9428
0,"GPU: Device 0 Memory Used (GB)",13,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",13,877
0,"cpu: User %",13,3.42419
0,"cpu: Nice %",13,0
0,"cpu: System %",13,0.0170358
0,"cpu: Idle %",13,96.5588
0,"cpu: I/O Wait %",13,0
0,"cpu: IRQ %",13,0
0,"cpu: soft IRQ %",13,0
0,"cpu: Steal %",13,0
0,"cpu: Guest %",13,0
0,"meminfo:MemTotal (MB)",13,630978
0,"meminfo:MemFree (MB)",13,556466
0,"meminfo:MemAvailable (MB)",13,588240
0,"program size (pages)",14,79771
0,"resident set size (pages)",14,2658
0,"resident shared pages",14,814
0,"Page faults (minor)",14,4746
0,"Page faults (major)",14,24
0,"Pages swapped (not maintained)",14,0
0,"GPU: Device 0 Utilization %",14,0
0,"GPU: Device 0 Memory Utilization %",14,0
0,"GPU: Device 0 Memory Free (GB)",14,16.9428
0,"GPU: Device 0 Memory Used (GB)",14,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",14,877
0,"cpu: User %",14,3.43045
0,"cpu: Nice %",14,0
0,"cpu: System %",14,0.00567956
0,"cpu: Idle %",14,96.5639
0,"cpu: I/O Wait %",14,0
0,"cpu: IRQ %",14,0
0,"cpu: soft IRQ %",14,0
0,"cpu: Steal %",14,0
0,"cpu: Guest %",14,0
0,"meminfo:MemTotal (MB)",14,630978
0,"meminfo:MemFree (MB)",14,556466
0,"meminfo:MemAvailable (MB)",14,588240
0,"program size (pages)",15,79771
0,"resident set size (pages)",15,2658
